,N,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New
81,2793533,1,20800000,77.0,30.0,30.0,11.967088219766326,5.0,1,0,0,0,20,35.0,0
82,2800725,3,7500000,55.6,39.0,6.0,13.451351390226877,7.0,1,1,1,1,3,4.0,0
83,2861831,6,100000000,330.0,,,13.281682851862655,9.0,1,1,1,1,19,20.0,0
84,2902747,3,11500000,66.0,48.0,8.0,11.856792893497166,7.0,1,1,1,0,2,4.0,0
85,3043873,2,14000000,59.0,30.0,15.0,6.8506435941646,10.0,1,1,0,1,5,5.0,0
86,3134689,4,22300000,90.9,56.1,13.6,8.887397796800565,8.0,1,1,0,0,3,8.0,0
87,3142739,3,6990000,50.0,35.0,6.0,14.39541301909982,5.0,0,0,1,1,2,9.0,0
88,3160714,3,13950000,98.0,58.9,10.0,15.981568390101051,4.0,0,0,1,1,2,9.0,0
89,3170725,1,5150000,40.0,22.0,8.0,10.243533672447333,7.0,1,0,0,0,5,5.0,0
90,3218142,1,7500000,37.0,16.0,8.0,13.513738638062852,5.0,1,0,1,1,9,18.0,0
91,3221896,2,5300000,37.0,23.0,7.0,14.139494891909285,15.0,1,0,1,0,2,9.0,0
92,3240914,2,14300000,71.0,44.1,6.0,6.8344806065929795,12.0,1,1,1,1,6,13.0,0
93,3253822,2,8900000,56.0,35.0,9.0,10.084822351516328,6.0,1,0,1,0,5,5.0,0
94,3274856,3,16500000,68.0,44.5,7.0,5.705620740461477,3.0,1,0,1,1,12,12.0,0
95,3320709,2,6100000,42.0,30.4,6.0,11.776939246671303,3.0,0,1,1,1,5,5.0,0
96,3540568,2,9000000,43.0,28.0,6.0,5.488036953860903,7.0,1,1,1,1,5,5.0,0
97,3561493,2,8200000,70.0,48.0,12.0,11.634896768678296,3.0,0,0,0,1,4,17.0,1
98,3576031,3,14000000,94.0,64.0,10.0,11.281606432697348,8.0,1,1,1,1,5,5.0,0
99,3792179,1,5300000,31.0,17.7,6.0,9.389748573999736,15.0,1,0,1,1,3,5.0,0
100,4103963,2,5800000,45.0,31.0,6.0,14.308541163278875,5.0,1,0,1,0,1,5.0,0
101,4335988,4,13900000,99.0,71.0,10.0,10.66573088323398,11.0,1,1,1,1,5,5.0,0
102,4550684,2,11600000,61.0,33.0,10.0,13.185689899919767,3.0,1,1,0,1,3,22.0,0
